Height,Weight,Gender,BMI,Category
174,96,Male,31.7,Obese
189,87,Male,24.4,Normal
185,110,Female,32.1,Obese
149,61,Male,27.6,Overweight
189,104,Male,29.1,Overweight
147,92,Male,42.5,Obese
154,111,Male,46.3,Obese
174,90,Male,29.7,Overweight
169,103,Female,36,Obese
195,81,Male,21.2,Normal
159,80,Female,31.6,Obese
192,101,Female,27.5,Overweight
155,51,Male,21.2,Normal
191,79,Male,21.6,Normal
153,107,Female,45.7,Obese
157,110,Female,44.7,Obese
140,129,Male,65.8,Obese
144,145,Male,69.8,Obese
157,110,Male,44.7,Obese
153,149,Female,63.7,Obese
169,97,Female,33.9,Obese
185,139,Male,40.7,Obese
172,67,Female,22.7,Normal
151,64,Female,28,Overweight
