Height,Weight,Gender,BMI,Category
146,110,Male,51.5,Obese
178,85,Male,26.8,Overweight
166,61,Male,22.1,Normal
191,62,Male,16.9,Underweight
177,155,Female,49.5,Obese
183,50,Female,14.9,Underweight
151,114,Male,50.0,Obese
182,98,Male,29.6,Overweight
142,159,Female,63.5,Obese
188,90,Female,25.5,Overweight
161,89,Male,34.4,Obese
153,70,Male,29.9,Overweight
140,143,Male,73.5,Obese
169,141,Male,49.3,Obese
162,159,Female,60.8,Obese
183,147,Male,43.7,Obese
162,58,Female,22.0,Normal
172,109,Female,36.8,Obese
150,119,Female,53.1,Obese
169,145,Female,50.7,Obese
184,132,Female,38.9,Obese
159,104,Male,41.2,Obese
163,131,Male,49.1,Obese
156,137,Male,56.3,Obese
157,52,Female,21.2,Normal
147,84,Male,38.7,Obese
141,86,Male,43.6,Obese
173,139,Male,46.4,Obese
154,145,Male,61.5,Obese
168,148,Male,52.6,Obese
168,50,Male,17.7,Underweight
145,130,Male,61.8,Obese
152,103,Male,44.5,Obese
187,121,Female,34.5,Obese
163,57,Female,21.6,Normal
178,83,Male,26.2,Overweight
187,94,Female,26.8,Overweight
179,114,Female,35.5,Obese
190,80,Male,22.2,Normal
172,75,Male,25.4,Overweight
188,57,Male,16.2,Underweight
193,65,Male,17.5,Underweight
147,126,Female,58.2,Obese
147,94,Female,43.5,Obese
166,107,Male,38.8,Obese
192,139,Female,37.7,Obese
181,139,Male,41.9,Obese
150,74,Male,32.9,Obese
178,160,Male,50.4,Obese
156,52,Female,21.4,Normal
149,100,Male,45.2,Obese
156,74,Male,30.4,Obese
183,105,Male,31.2,Obese
162,68,Female,26.0,Overweight
165,83,Female,30.5,Obese
168,143,Female,50.5,Obese
160,156,Male,61.0,Obese
169,88,Female,30.9,Overweight
140,76,Female,38.8,Obese
187,92,Female,26.3,Overweight
151,82,Male,36.0,Obese
186,140,Female,40.4,Obese
182,108,Male,32.6,Obese
188,81,Male,22.9,Normal
179,110,Male,34.4,Obese
156,126,Female,51.6,Obese
188,114,Male,32.3,Obese
183,153,Male,45.6,Obese
144,88,Male,42.3,Obese
196,69,Male,17.8,Underweight
171,141,Male,48.2,Obese
171,147,Male,50.1,Obese
180,156,Female,48.1,Obese
191,146,Male,42.0,Obese
179,67,Female,23.5,Normal
180,60,Female,18.5,Underweight
154,132,Female,55.4,Obese
188,99,Male,28.0,Overweight
142,135,Male,66.3,Obese
170,95,Male,32.8,Obese
